Id,Chr,Start,End,GC_Percent
ENSMUSG00000028274,chr4,33310311,33502614,39.17
ENSMUSG00000042961,chr15,7206120,7398395,43.32
ENSMUSG00000038518,chr13,44729474,44921643,42.22
ENSMUSG00000052560,chr15,90487482,90679432,40.28
ENSMUSG00000024985,chr19,55741820,55933654,46.71
ENSMUSG00000030691,chr7,101092863,101284405,39.49
ENSMUSG00000020902,chr11,68209364,68400823,48.76
ENSMUSG00000021176,chr12,99693045,99884439,43.39
ENSMUSG00000053626,chr8,64014931,64206271,36.87
ENSMUSG00000022957,chr16,91729281,91920597,46.29
ENSMUSG00000039191,chr5,53466152,53657362,42.86
ENSMUSG00000022272,chr15,25622525,25813673,46.9
ENSMUSG00000021767,chr14,21481434,21672478,43.67
ENSMUSG00000055373,chr4,25609332,25800244,37.32
ENSMUSG00000024897,chr19,23758887,23949596,44.98
ENSMUSG00000025477,chr7,139389109,139579652,48.79
ENSMUSG00000019892,chr10,103046031,103236322,35.84
ENSMUSG00000027966,chr3,114030540,114220718,35.21
ENSMUSG00000035948,chr10,106933517,107123668,37.53
ENSMUSG00000051361,chrX,38772671,38962686,39.18
ENSMUSG00000037270,chr3,36863104,37053033,37.08
ENSMUSG00000103770,chr18,36997880,37187657,39.81
ENSMUSG00000043639,chr19,53677306,53867080,46.45
ENSMUSG00000038257,chr8,55940460,56130070,35.79
ENSMUSG00000040274,chr5,3341485,3531008,43.37
ENSMUSG00000091476,chr1,177983423,178172705,41.46
ENSMUSG00000033216,chr6,88257334,88446539,46.5
ENSMUSG00000042256,chr17,42315947,42505077,38.94
ENSMUSG00000049122,chr4,74013442,74202214,38
ENSMUSG00000021391,chr13,49464023,49652785,38.93
ENSMUSG00000022861,chr16,22468461,22657221,45.93
ENSMUSG00000091002,chr7,138208974,138397730,45.8
ENSMUSG00000040506,chr2,91730134,91918849,41.28
ENSMUSG00000030513,chr7,65861734,66050386,47.27
ENSMUSG00000057234,chr2,109092297,109280748,37.34
ENSMUSG00000028664,chr4,136647539,136835988,52.13
ENSMUSG00000019726,chr13,13590397,13778803,39.26
ENSMUSG00000031093,chrX,35888832,36076562,39.55
ENSMUSG00000030852,chr7,130577438,130764785,47.96
ENSMUSG00000025038,chrX,17132049,17319368,37.79
ENSMUSG00000039652,chr19,37021291,37208601,42.45
ENSMUSG00000038244,chr7,112225856,112413106,47.71
ENSMUSG00000044252,chr18,12755314,12941841,43.16
ENSMUSG00000019947,chr10,68092520,68278740,43.17
ENSMUSG00000037341,chrX,20105754,20291807,39.79
ENSMUSG00000021715,chr13,104631140,104817142,39.08
ENSMUSG00000045215,chr18,22344246,22530227,39.05
ENSMUSG00000044647,chr2,65845767,66031546,39.7
ENSMUSG00000014030,chr4,44524757,44710487,49.09
ENSMUSG00000058328,chrX,73107635,73292976,45.58
ENSMUSG00000015501,chr10,13966075,14151374,42.15
ENSMUSG00000026384,chr1,119652467,119837613,37.08
ENSMUSG00000045659,chr7,116123485,116308376,48.87
ENSMUSG00000040820,chr16,94128882,94313571,47.76
ENSMUSG00000038331,chr1,56793981,56978650,41.59
ENSMUSG00000028556,chr4,98936671,99120915,40.08
ENSMUSG00000039579,chr4,49661611,49845744,39.99
ENSMUSG00000064210,chr15,95790843,95974751,45.27
ENSMUSG00000056342,chr11,23306895,23490560,37.56
ENSMUSG00000022788,chr16,16416917,16600549,39.52
ENSMUSG00000024238,chr18,5591860,5775467,40.54
ENSMUSG00000039109,chr13,36867178,37050244,42.1
ENSMUSG00000040209,chr3,9427020,9610085,45.57
ENSMUSG00000029287,chr5,107106570,107289629,45.22
ENSMUSG00000020193,chr11,11279626,11462408,38.52
ENSMUSG00000036225,chr18,14968685,15151446,44.93
ENSMUSG00000007440,chr18,37005203,37187657,39.82
ENSMUSG00000044948,chr19,47736857,47919287,45.79
ENSMUSG00000041216,chr4,9269293,9451691,40.9
ENSMUSG00000030352,chr6,127961396,128143594,51.03
ENSMUSG00000028412,chr4,53440413,53622478,41.97
ENSMUSG00000066687,chr9,48654297,48836222,48.36
ENSMUSG00000061436,chr6,38694390,38876165,43.95
ENSMUSG00000030451,chr7,56050196,56231800,40.49
ENSMUSG00000062604,chr5,23503264,23684617,42.61
ENSMUSG00000044447,chr14,67752135,67933442,45.17
ENSMUSG00000050783,chr16,64924729,65105854,39.69
ENSMUSG00000039901,chr19,45817364,45998488,43.98
ENSMUSG00000037801,chr9,63421455,63602493,42.01
ENSMUSG00000037101,chr8,78213297,78394326,42.07
ENSMUSG00000023026,chr15,100038664,100219473,46.04
ENSMUSG00000021375,chr13,46749087,46929867,45.56
ENSMUSG00000027281,chr2,136891218,137071950,40.3
ENSMUSG00000036192,chr19,18930605,19111196,39.33
ENSMUSG00000103144,chr18,37661793,37841873,45.13
ENSMUSG00000063681,chr1,139197056,139377100,39.09
ENSMUSG00000053469,chr15,66670753,66850721,44.98
ENSMUSG00000060275,chr18,36017652,36197380,48.01
ENSMUSG00000060131,chr2,126320973,126500674,41.64
ENSMUSG00000031024,chr7,109523911,109703605,44.02
ENSMUSG00000041852,chr15,82808436,82987872,47.35
ENSMUSG00000038729,chr4,57717657,57896984,45.3
ENSMUSG00000038910,chr17,50509403,50688484,41.76
ENSMUSG00000041731,chr19,24683016,24861855,43.07
ENSMUSG00000021180,chr12,100548439,100726983,39.76
ENSMUSG00000026836,chr2,58388644,58567157,42.6
ENSMUSG00000042292,chr15,81012281,81190757,45.25
ENSMUSG00000033392,chr9,113741473,113919682,40.85
ENSMUSG00000049556,chr9,56618475,56796468,51.69
ENSMUSG00000051111,chr13,95954594,96132577,43.84
ENSMUSG00000026799,chr2,29346819,29524793,47.73
ENSMUSG00000039585,chr9,59750896,59928866,36.75
ENSMUSG00000062542,chr7,107370728,107548656,42.92
ENSMUSG00000029361,chr5,117781032,117958840,49.24
ENSMUSG00000075225,chr10,41538846,41716634,45.33
ENSMUSG00000021365,chr13,41309581,41487362,44.18
ENSMUSG00000015766,chr6,137477245,137654876,43.81
ENSMUSG00000028019,chr3,81036416,81214040,38.2
ENSMUSG00000032536,chr9,121297502,121474918,49.96
ENSMUSG00000068748,chr6,22875502,23052916,38.62
ENSMUSG00000041235,chr4,8690406,8867659,45.59
ENSMUSG00000026442,chr1,132564690,132741797,49.04
ENSMUSG00000029761,chr6,34598500,34775473,42.95
ENSMUSG00000102206,chr18,37010712,37187657,39.71
ENSMUSG00000022637,chr16,52031225,52208048,40.59
ENSMUSG00000021464,chr13,53109312,53286124,48.18
ENSMUSG00000017897,chr2,165595032,165771727,49.27
ENSMUSG00000037533,chr11,54522847,54699285,38.54
ENSMUSG00000024074,chr17,78200248,78376592,44.43
ENSMUSG00000035649,chr4,44755877,44932215,36.98
ENSMUSG00000057329,chr1,106538178,106714274,42.96
ENSMUSG00000023033,chr15,100869858,101045938,47.28
ENSMUSG00000015112,chr6,6041218,6217173,43.29
ENSMUSG00000000037,chrX,161082525,161258213,39.03
ENSMUSG00000031543,chr8,22974844,23150497,48.97
ENSMUSG00000074736,chr2,149829211,150004392,41.9
ENSMUSG00000022335,chr15,68083764,68258856,45.37
ENSMUSG00000016386,chr2,106693269,106868356,43.66
ENSMUSG00000024073,chr17,74528295,74703356,39.48
ENSMUSG00000024697,chr19,16435762,16610820,43.6
ENSMUSG00000036103,chr18,9707595,9882644,41.61
ENSMUSG00000028184,chr3,148815583,148990555,41.45
ENSMUSG00000030126,chr6,116018611,116193486,40.16
ENSMUSG00000046532,chrX,98148769,98323215,37.12
ENSMUSG00000039697,chr10,30628999,30803326,40.13
ENSMUSG00000038305,chr1,57774162,57948394,43.36
ENSMUSG00000028358,chr4,62965573,63139708,46.57
ENSMUSG00000021139,chr12,81358860,81532905,40.13
ENSMUSG00000034731,chr14,78558750,78732776,43.6
ENSMUSG00000046782,chr12,57564113,57737928,40.17
ENSMUSG00000039087,chr13,37778400,37952005,45.46
ENSMUSG00000060798,chr3,40531286,40704774,43.11
ENSMUSG00000029629,chr6,11907809,12081205,36.89
ENSMUSG00000041794,chr9,120301513,120474841,47.28
ENSMUSG00000024921,chr19,26605050,26778322,44.66
ENSMUSG00000025324,chr7,58656166,58829420,42.64
ENSMUSG00000034573,chr5,103425192,103598303,43.15
ENSMUSG00000030231,chr6,140424054,140597110,43.64
ENSMUSG00000044976,chr9,74110356,74283308,40.25
ENSMUSG00000042680,chr18,21127201,21300138,42.89
ENSMUSG00000103332,chr18,37668953,37841870,45.24
ENSMUSG00000022332,chr15,68928420,69101211,43.06
ENSMUSG00000026883,chr2,35558266,35730994,51.75
ENSMUSG00000057123,chr3,96904693,97077416,45.5
ENSMUSG00000050296,chr1,71242276,71414910,39.6
ENSMUSG00000052273,chr7,119922671,120095280,42.43
ENSMUSG00000047129,chr10,87058045,87230589,41.44
ENSMUSG00000023151,chr4,14623620,14796060,39.72
ENSMUSG00000050931,chr3,131318985,131491411,45.16
ENSMUSG00000026322,chr18,62324204,62496577,40.61
ENSMUSG00000031642,chr8,61223872,61396071,44.52
ENSMUSG00000033487,chr14,72537946,72710003,39.12
ENSMUSG00000038248,chr10,43002500,43174530,44.51
ENSMUSG00000005268,chr15,10177238,10349180,40.18
ENSMUSG00000003746,chr10,53904785,54076609,39.94
ENSMUSG00000039519,chr3,18071950,18243338,38.83
ENSMUSG00000042082,chr13,93771630,93943016,44.12
ENSMUSG00000032503,chr9,112065091,112235938,42.65
ENSMUSG00000051344,chr1,64785983,64956824,42.98
ENSMUSG00000026611,chr1,187044648,187215465,40.97
ENSMUSG00000030022,chr6,92772699,92943492,42.98
ENSMUSG00000024749,chr19,20783458,20954202,39.42
ENSMUSG00000021725,chr13,116854820,117025537,40.77
ENSMUSG00000072663,chr15,9578193,9748868,38.52
ENSMUSG00000039315,chr5,38706462,38876812,43.82
ENSMUSG00000020102,chr10,125219270,125389465,40.28
ENSMUSG00000061082,chrX,53069995,53240111,42.18
ENSMUSG00000064329,chr2,66270778,66440840,38.76
ENSMUSG00000049939,chr6,28661831,28831747,43.24
ENSMUSG00000009647,chr10,59446984,59616692,43.63
ENSMUSG00000040591,chr2,91275068,91444704,43.4
ENSMUSG00000048834,chr11,16257724,16427310,39
ENSMUSG00000030987,chr7,102267806,102437319,41.65
ENSMUSG00000026077,chr1,39193731,39363236,46.19
ENSMUSG00000062393,chrX,6779306,6948363,39.48
ENSMUSG00000016918,chr1,12692277,12861192,43.45
ENSMUSG00000027430,chr2,144599897,144768758,44.16
ENSMUSG00000020315,chr11,30099395,30268175,42.54
ENSMUSG00000032841,chr2,101714285,101883027,45.56
ENSMUSG00000058070,chr12,108370957,108539617,47.74
ENSMUSG00000041961,chr11,5276324,5444847,42.56
ENSMUSG00000027209,chr2,125983483,126152004,40.36
ENSMUSG00000046844,chr8,114205612,114374071,43.89
ENSMUSG00000041949,chr8,106683068,106851439,45.12
ENSMUSG00000052336,chr9,119901616,120069879,49.72
ENSMUSG00000054310,chr7,15388948,15556866,41.01
ENSMUSG00000033063,chr13,64736182,64903955,38.51
ENSMUSG00000104346,chr18,37674307,37841873,45.21
ENSMUSG00000103310,chr18,37020149,37187657,39.58
ENSMUSG00000066442,chr9,89210676,89377713,41.45
ENSMUSG00000031563,chr8,47823959,47990924,46.23
ENSMUSG00000032743,chr7,125707888,125874793,47.58
ENSMUSG00000033416,chr10,75351111,75517972,45.16
ENSMUSG00000033083,chr14,101442360,101609191,42.69
ENSMUSG00000035459,chr10,86841198,87008025,44.89
ENSMUSG00000049420,chr10,25912331,26079052,41.4
ENSMUSG00000056880,chr9,115909455,116076176,44.82
ENSMUSG00000064065,chr10,6885796,7052478,40.93
ENSMUSG00000018417,chr1,51749765,51916071,43.11
ENSMUSG00000025217,chr19,45363734,45530013,41.85
ENSMUSG00000038267,chr13,34179158,34345182,45.2
ENSMUSG00000038302,chr10,42312585,42478565,43.88
ENSMUSG00000020122,chr11,16752203,16918158,41.94
ENSMUSG00000028152,chr3,138742195,138907905,45.93
ENSMUSG00000046230,chr19,16615366,16780933,37.07
ENSMUSG00000004317,chrX,7153810,7319358,40.82
ENSMUSG00000032846,chr13,107724617,107890064,42.78
ENSMUSG00000071064,chr8,79028437,79193766,46.08
ENSMUSG00000020963,chr12,91384563,91549808,42.18
ENSMUSG00000039031,chr10,26753421,26918648,40.8
ENSMUSG00000039230,chr11,121451949,121617164,45.59
ENSMUSG00000040490,chr17,48932379,49097588,48.05
ENSMUSG00000039037,chr3,152817081,152982246,45.53
ENSMUSG00000074579,chr3,65666228,65831355,40.36
ENSMUSG00000009621,chr2,27262104,27427033,51.41
ENSMUSG00000021720,chr13,105130001,105294815,40.92
ENSMUSG00000027977,chr3,123526166,123690853,41.25
ENSMUSG00000056486,chr2,73610660,73775346,40.68
ENSMUSG00000028369,chr4,58042442,58206859,42.39
ENSMUSG00000028549,chr4,99765402,99929813,38.94
ENSMUSG00000029648,chr5,147561604,147726011,46.17
ENSMUSG00000024593,chr18,57133090,57297467,42.5
ENSMUSG00000051777,chr3,67892220,68056593,40.8
ENSMUSG00000043913,chr5,116124641,116288985,48.99
ENSMUSG00000028402,chr4,81278500,81442815,40.04
ENSMUSG00000042751,chr1,152954993,153119261,45.8
ENSMUSG00000030770,chr7,112427505,112591692,46.48
ENSMUSG00000028086,chr3,84815268,84979198,39.48
ENSMUSG00000015709,chr7,84246278,84410176,45.46
ENSMUSG00000015305,chr10,8722219,8886070,45.66
ENSMUSG00000032656,chr18,56761716,56925548,43.18
ENSMUSG00000019978,chr10,25359798,25523519,42.8
ENSMUSG00000037999,chr5,62602445,62766159,38.51
ENSMUSG00000029516,chr5,115845278,116008947,49.65
ENSMUSG00000090165,chr1,88055388,88219004,42.4
ENSMUSG00000042401,chr19,42268287,42431785,48.91
ENSMUSG00000022876,chr16,75858793,76022281,38.37
ENSMUSG00000031075,chr7,144588549,144751974,49.65
ENSMUSG00000028397,chr4,74242497,74405860,38.21
ENSMUSG00000053799,chr19,37520879,37684059,42.09
ENSMUSG00000026663,chr1,170704674,170867771,41.29
ENSMUSG00000005583,chr13,83504034,83667080,37.5
ENSMUSG00000029313,chr5,103692374,103855322,45.55
ENSMUSG00000055799,chr6,72626378,72789254,47.94
ENSMUSG00000029822,chr6,50293330,50456201,45.41
ENSMUSG00000059248,chr11,117199661,117362325,53.01
ENSMUSG00000024511,chr18,69979131,70141605,39.77
ENSMUSG00000027748,chr3,54156035,54318471,40.04
ENSMUSG00000060012,chr14,64647265,64809617,44.29
ENSMUSG00000045102,chr5,34007179,34169448,40.5
ENSMUSG00000026824,chr2,55435970,55598145,36.2
ENSMUSG00000019852,chr10,18581839,18743949,41.81
ENSMUSG00000057133,chr2,160946978,161109075,41.93
ENSMUSG00000047045,chrX,142681406,142843494,43.37
ENSMUSG00000029478,chr5,125017153,125179219,55.08
ENSMUSG00000042846,chr10,63928472,64090277,40.28
ENSMUSG00000048520,chr5,21483847,21645634,43.18
ENSMUSG00000109561,chr13,96748272,96910039,38.9
ENSMUSG00000032340,chr9,58874687,59036441,38.46
ENSMUSG00000027070,chr2,69424340,69586065,42.52
ENSMUSG00000020111,chr10,59702477,59864132,45.39
ENSMUSG00000103037,chr18,37680233,37841870,45.25
ENSMUSG00000020546,chr11,90476492,90638084,40.94
ENSMUSG00000027198,chr2,93661028,93822568,47.61
ENSMUSG00000090061,chr5,63649102,63810546,41.21
ENSMUSG00000015133,chr7,66226912,66388350,47.26
ENSMUSG00000024043,chr17,67842713,68004120,44.41
ENSMUSG00000034574,chr12,71831078,71992333,45
ENSMUSG00000021559,chr13,60601947,60763191,46.92
ENSMUSG00000026765,chr2,49787688,49948849,43.22
ENSMUSG00000009569,chr16,13256481,13417529,42.96
ENSMUSG00000050122,chr1,37026596,37187613,44.99
ENSMUSG00000032818,chr18,77281958,77442930,46.77
ENSMUSG00000033389,chr11,65002039,65162961,45.72
ENSMUSG00000069044,chrY,1298961,1459782,36.39
ENSMUSG00000021846,chr14,48120823,48281575,45.49
ENSMUSG00000044033,chr2,77009902,77170636,40.98
ENSMUSG00000002459,chr1,4909576,5070285,41.08
ENSMUSG00000021255,chr12,86361117,86521628,48.88
ENSMUSG00000024135,chr17,85984665,86145175,41.26
ENSMUSG00000015882,chr5,45697181,45857615,37.47
ENSMUSG00000037876,chr10,67096125,67256326,40.41
ENSMUSG00000021357,chr13,30813919,30974093,41.07
ENSMUSG00000020435,chr11,3703731,3863903,48.65
ENSMUSG00000066772,chr7,15479825,15639902,41.28
ENSMUSG00000045180,chrX,152609509,152769465,40.41
ENSMUSG00000031027,chr7,109279223,109439081,40.23
ENSMUSG00000074764,chr2,140229855,140389706,40.68
ENSMUSG00000062200,chr3,64685044,64844765,39.64
ENSMUSG00000045648,chr1,70725715,70885397,38.74
ENSMUSG00000050315,chr3,123076519,123236149,43.06
ENSMUSG00000021136,chr12,81026808,81186414,45.42
ENSMUSG00000049313,chr9,41964720,42124297,46.67
ENSMUSG00000026686,chr1,167689237,167848741,45.07
ENSMUSG00000031748,chr8,93809966,93969388,48.74
ENSMUSG00000028082,chr3,85971109,86130526,43.24
ENSMUSG00000039530,chr8,39005845,39165114,39.2
ENSMUSG00000004113,chr2,24603887,24763152,46.66
ENSMUSG00000023066,chr18,88971790,89131016,37.4
ENSMUSG00000027722,chr3,37419896,37579096,37.53
ENSMUSG00000041649,chrX,153237466,153396132,39.48
ENSMUSG00000031758,chr8,116574400,116732991,45.42
ENSMUSG00000035569,chr8,122883822,123042277,44.87
ENSMUSG00000038664,chr9,66350450,66508775,38
ENSMUSG00000039841,chr6,28239927,28398005,40.49
ENSMUSG00000026162,chr1,74967139,75125200,44.02
ENSMUSG00000058153,chr5,112419151,112577185,49.82
ENSMUSG00000029913,chr6,65778988,65937010,39.9
ENSMUSG00000038740,chr2,33729953,33887946,49.42
ENSMUSG00000031309,chrX,159210307,159368244,38.19
ENSMUSG00000030043,chr6,82402334,82560104,43.44
ENSMUSG00000073664,chr1,60180599,60338328,37.1
ENSMUSG00000026312,chr1,109982431,110140157,35.05
ENSMUSG00000102252,chr7,59982495,60140219,37.11
ENSMUSG00000032415,chr9,86307306,86464950,40.92
ENSMUSG00000005534,chr8,3122061,3279617,43.1
ENSMUSG00000028030,chr3,132684144,132841688,39.87
ENSMUSG00000003810,chr4,116306762,116464183,40.52
ENSMUSG00000051000,chr3,85660061,85817291,42.93
ENSMUSG00000026743,chr2,18055237,18212388,40.09
ENSMUSG00000049411,chr18,11964450,12121537,45.14
ENSMUSG00000022812,chr16,38089001,38246084,40.66
ENSMUSG00000004085,chr2,72285637,72442610,43.11
ENSMUSG00000027763,chr3,60472830,60629750,38.39
ENSMUSG00000030301,chr6,147475828,147632612,43.28
ENSMUSG00000103677,chr18,37685210,37841873,45.2
ENSMUSG00000070780,chr5,66016549,66173118,44.85
ENSMUSG00000040328,chr11,48978889,49135387,42.2
ENSMUSG00000096793,chr14,3810074,3966518,42.71
ENSMUSG00000024502,chr18,43531407,43687773,40.28
ENSMUSG00000040865,chr1,62958418,63114667,43.22
ENSMUSG00000033502,chr3,116272553,116428745,43.53
ENSMUSG00000028273,chr3,142239590,142395696,38.18
ENSMUSG00000025997,chr1,69531214,69687245,38.97
ENSMUSG00000022139,chr14,120275669,120431697,44.53
ENSMUSG00000028780,chr5,17574281,17730268,37.48
ENSMUSG00000063506,chr14,33214026,33369934,48.96
ENSMUSG00000068184,chr13,108002715,108158623,42.23
ENSMUSG00000026737,chr2,18842255,18998126,43.78
ENSMUSG00000033373,chr12,76765589,76921412,46.59
ENSMUSG00000000804,chr11,84984442,85140161,39.1
ENSMUSG00000041886,chr12,119314270,119469987,37.12
ENSMUSG00000027160,chr2,110017817,110173360,39.73
ENSMUSG00000026764,chr2,49619298,49774778,45.46
ENSMUSG00000055312,chr2,105224320,105379796,44.53
ENSMUSG00000020961,chr12,91633009,91788387,45.45
ENSMUSG00000035284,chr9,67840396,67995638,41.22
ENSMUSG00000039004,chr13,38345107,38500302,44.78
ENSMUSG00000059182,chr6,51857422,52012549,39.06
ENSMUSG00000061288,chr5,117120129,117275219,48.2
ENSMUSG00000022064,chr14,99099424,99254493,41.19
ENSMUSG00000037106,chr15,58510048,58665092,44.28
ENSMUSG00000000794,chr3,89520164,89675132,48.56
ENSMUSG00000075316,chr2,66480080,66634962,37.48
ENSMUSG00000050830,chr11,11114223,11268931,40.32
ENSMUSG00000035910,chr13,25056004,25210706,43.63
ENSMUSG00000003452,chr6,149408886,149563329,37.2
ENSMUSG00000059049,chr4,82897920,83052339,42.22
ENSMUSG00000024085,chr17,64600736,64755110,42.02
ENSMUSG00000028289,chr4,28813131,28967499,36.27
ENSMUSG00000102483,chr1,177808431,177962678,41.2
ENSMUSG00000027649,chr2,157737401,157891614,46.92
ENSMUSG00000032207,chr9,70798128,70952226,46.26
ENSMUSG00000026163,chr1,83254139,83408200,39.74
ENSMUSG00000074785,chr10,94790866,94944835,45.25
ENSMUSG00000005107,chr5,38349273,38503143,47.6
ENSMUSG00000022141,chr15,8290617,8444463,36.99
ENSMUSG00000057230,chr6,86849517,87003223,43.46
ENSMUSG00000052353,chr7,83932857,84086502,45.96
ENSMUSG00000031673,chr8,102632095,102785642,39.48
ENSMUSG00000024219,chr17,27909306,28062775,50.65
ENSMUSG00000094817,chr14,26082297,26235744,46.17
ENSMUSG00000036528,chr7,107595207,107748583,45
ENSMUSG00000040407,chr5,3928054,4081310,41.16
ENSMUSG00000026837,chr2,27886425,28039514,51.15
ENSMUSG00000034593,chr9,75071015,75223688,39.94
ENSMUSG00000030562,chr7,87246096,87398710,36.59
ENSMUSG00000063919,chr5,116439275,116591817,47.67
ENSMUSG00000032479,chr9,109931460,110083955,41.82
ENSMUSG00000041444,chr9,32116136,32268446,40.37
ENSMUSG00000028344,chr4,48279760,48431954,40.85
ENSMUSG00000032343,chr9,80313330,80465481,40.86
ENSMUSG00000032724,chr2,103566310,103718423,46.41
ENSMUSG00000041301,chr6,18170687,18322768,37.22
ENSMUSG00000102748,chr18,37689828,37841873,45.2
ENSMUSG00000025246,chrX,77511013,77662983,41.09
ENSMUSG00000028906,chr4,131923413,132075321,43.25
ENSMUSG00000001995,chr8,125418063,125569808,49.31
ENSMUSG00000053399,chr8,113697126,113848738,43.21
ENSMUSG00000091455,chr10,107760531,107912134,38.53
ENSMUSG00000040964,chr4,140514485,140666012,52.95
ENSMUSG00000026116,chr1,36792191,36943666,43.66
ENSMUSG00000028434,chr4,56991972,57143437,47.22
ENSMUSG00000031583,chr8,33234384,33385527,39.69
ENSMUSG00000034903,chr2,65088339,65239403,40.71
ENSMUSG00000025314,chr2,90429754,90580647,45.73
ENSMUSG00000022840,chr16,35154877,35305738,50.53
ENSMUSG00000029104,chr5,34761740,34912534,42.43
ENSMUSG00000010342,chr11,87405065,87555823,43.43
ENSMUSG00000026483,chr1,151571186,151721939,43.75
ENSMUSG00000053279,chr19,20492715,20643465,38.5
ENSMUSG00000061689,chr2,156613705,156764363,51.77
ENSMUSG00000032020,chr9,41011098,41161697,46.87
ENSMUSG00000020037,chr10,84756062,84906538,46.3
ENSMUSG00000028977,chr4,148804429,148954889,52.99
ENSMUSG00000025964,chr1,63445891,63596276,41.4
ENSMUSG00000021103,chr12,73123717,73273988,39.15
ENSMUSG00000006586,chr4,13743436,13893649,40.63
ENSMUSG00000045802,chrX,96306178,96456294,38.07
ENSMUSG00000045106,chr2,104867805,105017904,38.73
ENSMUSG00000031342,chrX,166238911,166388988,41.79
ENSMUSG00000051920,chr15,43020794,43170826,38.29
ENSMUSG00000017688,chr3,3508030,3658052,36.51
ENSMUSG00000008489,chr4,91250763,91400785,40.19
ENSMUSG00000016756,chr13,24327404,24477377,42.35
ENSMUSG00000024642,chr19,14448150,14598051,39.29
ENSMUSG00000019906,chr10,107271686,107421474,39.4
ENSMUSG00000025665,chrX,111388192,111537959,34.76
ENSMUSG00000041236,chr13,18717286,18866811,40.9
ENSMUSG00000019893,chr10,52045721,52195244,40.47
ENSMUSG00000053289,chr9,53098635,53248053,37.52
ENSMUSG00000045867,chr10,95174746,95324133,45.69
ENSMUSG00000028149,chr3,138925902,139075201,40.19
ENSMUSG00000025607,chr6,30747554,30896794,39.04
ENSMUSG00000038094,chr16,29395853,29544864,41.96
ENSMUSG00000068457,chrY,1096861,1245759,36.93
ENSMUSG00000033854,chr12,98429437,98578310,43.82
ENSMUSG00000042284,chr13,114953096,115101964,40.8
ENSMUSG00000036086,chr1,127954184,128103047,41.95
ENSMUSG00000041836,chr7,135537481,135686293,47.73
ENSMUSG00000010721,chr5,29229802,29378390,40.53
ENSMUSG00000021373,chr13,46501848,46650281,44.85
ENSMUSG00000026604,chr1,189728268,189876695,48.69
ENSMUSG00000022514,chr16,26581704,26730117,39.51
ENSMUSG00000000416,chr6,18366478,18514843,40.7
ENSMUSG00000042744,chr5,121220219,121368577,47
